ID,:LABEL,name,family,synonyms,taxid
ATG4C,Gene,autophagy related 4C cysteine peptidase,Autophagy related,"84938,ENSG00000125703,OTTHUMG00000009142,uc001dat.5,AK027773",9606
GAPDHP19,Gene,glyceraldehyde 3 phosphate dehydrogenase pseudogene 19,,"140028,ENSG00000234529,OTTHUMG00000036502,,",9606
TRAM2-AS1,Gene,TRAM2 antisense RNA 1 (head to head),Antisense RNAs,"401264,ENSG00000225791,OTTHUMG00000014849,,",9606
PRIM1,Gene,DNA primase subunit 1,,"5557,ENSG00000198056,OTTHUMG00000170034,uc001smd.4,BC005266",9606
KRTAP19-2,Gene,keratin associated protein 19-2,Keratin associated proteins,"337969,ENSG00000186965,OTTHUMG00000057772,uc011acy.3,AP001708",9606
VN1R93P,Gene,vomeronasal 1 receptor 93 pseudogene,Vomeronasal receptors,"100312838,ENSG00000269320,OTTHUMG00000183386,,",9606
OR2V2,Gene,olfactory receptor family 2 subfamily V member 2,"Olfactory receptors, family 2","285659,ENSG00000182613,OTTHUMG00000130933,uc011dhj.2,AL161615",9606
UBA2,Gene,ubiquitin like modifier activating enzyme 2,Ubiquitin like modifier activating enzymes,"10054,ENSG00000126261,OTTHUMG00000182090,uc002nvk.4,BC003153",9606
GLULP5,Gene,glutamate-ammonia ligase pseudogene 5,,"100421694,ENSG00000257915,OTTHUMG00000169479,,",9606
MIR7160,Gene,microRNA 7160,MicroRNAs,"102465695,ENSG00000273593,,,",9606
SULF2,Gene,sulfatase 2,Sulfatases,"55959,ENSG00000196562,OTTHUMG00000032675,uc002xto.4,AY101176",9606
ADAD1P1,Gene,adenosine deaminase domain containing 1 pseudogene 1,,"100422386,,,,",9606
SEPTIN14P13,Gene,septin 14 pseudogene 13,,"106481733,ENSG00000224813,OTTHUMG00000002857,,",9606
PTGDR2,Gene,prostaglandin D2 receptor 2,"""Prostaglandin receptors|CD molecules""","11251,ENSG00000183134,OTTHUMG00000167796,uc001nqc.3,AF118265",9606
GLIPR1,Gene,GLI pathogenesis related 1,GLIPR family ,"11010,ENSG00000139278,OTTHUMG00000169757,uc001sxs.4,U16307",9606
LRRC32,Gene,leucine rich repeat containing 32,,"2615,ENSG00000137507,OTTHUMG00000133687,uc001oxr.4,Z24680",9606
PADI2,Gene,peptidyl arginine deiminase 2,Peptidyl arginine deiminases,"11240,ENSG00000117115,OTTHUMG00000002295,uc001baf.4,AB030176",9606
EXD1,Gene,exonuclease 3'-5' domain containing 1,,"161829,ENSG00000178997,OTTHUMG00000130232,uc001znk.5,BC030628",9606
ZBP1,Gene,Z-DNA binding protein 1,,"81030,ENSG00000124256,OTTHUMG00000032824,uc002xyo.4,AJ300575",9606
ZNF580,Gene,zinc finger protein 580,Zinc fingers C2H2-type,"51157,ENSG00000213015,OTTHUMG00000180868,uc002qlo.4,AF184939",9606
LINC01968,Gene,long intergenic non-protein coding RNA 1968,Long intergenic non-protein coding RNAs,"100507391,ENSG00000237222,OTTHUMG00000156020,,",9606
ARPIN-AP3S2,Gene,ARPIN-AP3S2 readthrough,,"100526783,ENSG00000250021,OTTHUMG00000162161,uc002bos.5,",9606
RNU6-917P,Gene,"RNA, U6 small nuclear 917, pseudogene",,"106479971,ENSG00000252103,,,",9606
SEC63,Gene,"SEC63 homolog, protein translocation regulator",DNAJ (HSP40) heat shock proteins,"11231,ENSG00000025796,OTTHUMG00000015316,uc003psc.5,BC048287",9606
PCDHGB2,Gene,"protocadherin gamma subfamily B, 2",Clustered protocadherins,"56103,ENSG00000253910,OTTHUMG00000163682,uc003ljs.3,AF152331",9606
ARHGAP5-AS1,Gene,ARHGAP5 antisense RNA 1 (head to head),Antisense RNAs,"84837,ENSG00000258655,OTTHUMG00000170588,uc010amk.4,BC007251",9606
FAM183EP,Gene,"family with sequence similarity 183 member E, pseudogene",,"107403081,,,,",9606
FGFR3P4,Gene,fibroblast growth factor receptor 3 pseudogene 4,,"100420833,,,,",9606
SLC6A14P2,Gene,SLC6A14 pseudogene 2,,"100462652,ENSG00000237860,,,",9606
MT-TS2,Gene,mitochondrially encoded tRNA-Ser (AGU/C) 2,Mitochondrially encoded transfer RNAs,"4575,ENSG00000210184,,uc004cow.3,",9606
RPL18P12,Gene,ribosomal protein L18 pseudogene 12,,"390671,,,,",9606
LILRA6,Gene,leukocyte immunoglobulin like receptor A6,"""CD molecules|Activating leukocyte immunoglobulin like receptors""","79168,ENSG00000244482,OTTHUMG00000066635,uc032idf.2,AF041262",9606
PMM2,Gene,phosphomannomutase 2,HAD Asp-based non-protein phosphatases,"5373,ENSG00000140650,OTTHUMG00000129697,uc002czf.5,BC008310",9606
RNU6-433P,Gene,"RNA, U6 small nuclear 433, pseudogene",,"106481315,ENSG00000200086,,,",9606
KRT8P41,Gene,keratin 8 pseudogene 41,,"283102,ENSG00000213538,OTTHUMG00000165715,,",9606
LINC02489,Gene,long intergenic non-protein coding RNA 2489,Long intergenic non-protein coding RNAs,"101928919,ENSG00000255007,OTTHUMG00000166910,,",9606
PPM1B-DT,Gene,PPM1B divergent transcript,Divergent transcripts,"118568818,ENSG00000273106,,,",9606
ODAPH,Gene,odontogenesis associated phosphoprotein,,"152816,ENSG00000174792,OTTHUMG00000130104,uc003hip.3,AK074237",9606
RN7SL339P,Gene,"RNA, 7SL, cytoplasmic 339, pseudogene",,"106479348,ENSG00000265740,,uc063jpz.1,",9606
RN7SL35P,Gene,"RNA, 7SL, cytoplasmic 35, pseudogene",,"106480931,ENSG00000240347,,uc064euj.1,",9606
MTND3P9,Gene,MT-ND3 pseudogene 9,,"100873184,ENSG00000227557,OTTHUMG00000153937,,",9606
ST14,Gene,ST14 transmembrane serine protease matriptase,Type II transmembrane serine proteases,"6768,ENSG00000149418,OTTHUMG00000165768,uc001qfw.4,AF118224",9606
LINC01256,Gene,long intergenic non-protein coding RNA 1256,Long intergenic non-protein coding RNAs,"104355285,ENSG00000251398,OTTHUMG00000161768,,BX088800",9606
RN7SL310P,Gene,"RNA, 7SL, cytoplasmic 310, pseudogene",,"106479336,ENSG00000240663,,uc060pcz.1,",9606
RPL29P23,Gene,ribosomal protein L29 pseudogene 23,,"646077,ENSG00000241950,OTTHUMG00000158340,,",9606
ZNF451-AS1,Gene,ZNF451 regulatory antisense RNA 1,Antisense RNAs,"101927211,ENSG00000226803,OTTHUMG00000014917,,",9606
HSPE1P19,Gene,heat shock protein family E (Hsp10) member 1 pseudogene 19,,"106481675,ENSG00000271024,OTTHUMG00000184367,,",9606
OGFOD2,Gene,2-oxoglutarate and iron dependent oxygenase domain containing 2,,"79676,ENSG00000111325,OTTHUMG00000168778,uc001uea.2,AK094820",9606
CCER2,Gene,coiled-coil glutamate rich protein 2,,"643669,ENSG00000262484,OTTHUMG00000177374,,",9606
SNORD66,Gene,"small nucleolar RNA, C/D box 66","Small nucleolar RNAs, C/D box","692107,ENSG00000212158,,uc003fnz.3,AC078797",9606
MRPS21P7,Gene,mitochondrial ribosomal protein S21 pseudogene 7,,"359771,ENSG00000260024,OTTHUMG00000173442,,",9606
DEFA9P,Gene,"defensin alpha 9, pseudogene","Defensins, alpha","449492,ENSG00000233238,OTTHUMG00000150021,,AY746434",9606
HSPD1P10,Gene,heat shock protein family D (Hsp60) member 1 pseudogene 10,,"644016,ENSG00000216990,OTTHUMG00000015167,,",9606
PSMC6,Gene,"proteasome 26S subunit, ATPase 6","""AAA ATPases|Proteasome""","5706,ENSG00000100519,OTTHUMG00000152333,uc010tqx.3,",9606
RPS10P31,Gene,ribosomal protein S10 pseudogene 31,,"100129939,,,,",9606
EML2,Gene,EMAP like 2,"""WD repeat domain containing|EMAP like|MicroRNA protein coding host genes""","24139,ENSG00000125746,OTTHUMG00000182127,uc002pcn.4,AF103939",9606
CDK4,Gene,cyclin dependent kinase 4,"""Cyclin dependent kinases|MicroRNA protein coding host genes""","1019,ENSG00000135446,OTTHUMG00000170382,uc001spv.4,M14505",9606
PIRC11,Gene,piwi-interacting RNA cluster 11,Piwi-interacting RNA clusters,"100313897,,,,",9606
RNU6-14P,Gene,"RNA, U6 small nuclear 14, pseudogene",,"100873746,ENSG00000207360,,,",9606
ZNF814,Gene,zinc finger protein 814,Zinc fingers C2H2-type,"730051,ENSG00000204514,OTTHUMG00000183519,uc061dny.1,",9606
OR4F3,Gene,olfactory receptor family 4 subfamily F member 3,"Olfactory receptors, family 4","26683,ENSG00000230178,OTTHUMG00000162081,uc011dhm.3,AC004908",9606
CAPN10-DT,Gene,CAPN10 divergent transcript,Divergent transcripts,"101752400,ENSG00000260942,OTTHUMG00000170676,,AK024254",9606
FAAP100,Gene,FA core complex associated protein 100,,"80233,ENSG00000185504,OTTHUMG00000167764,,BC008883",9606
IPO5,Gene,importin 5,"""Importins|TOG domain containing""","3843,ENSG00000065150,OTTHUMG00000017244,uc010til.2,U72761",9606
RPS28P5,Gene,ribosomal protein S28 pseudogene 5,,"100271121,ENSG00000224646,,,",9606
WWC2-AS2,Gene,WWC2 antisense RNA 2,Antisense RNAs,"152641,ENSG00000251359,OTTHUMG00000160677,uc003ivj.2,AK054839",9606
TLK1,Gene,tousled like kinase 1,,"9874,ENSG00000198586,OTTHUMG00000132243,uc002ugn.3,AB004885",9606
RNU6-1074P,Gene,"RNA, U6 small nuclear 1074, pseudogene",,"106480635,ENSG00000206722,,,",9606
C5orf49,Gene,chromosome 5 open reading frame 49,,"134121,ENSG00000215217,OTTHUMG00000161897,uc003jea.7,",9606
RPS4XP11,Gene,ribosomal protein S4X pseudogene 11,,"441550,ENSG00000234335,OTTHUMG00000017915,,",9606
CUX2P1,Gene,cut like homeobox 2 pseudogene 1,CUT class homeoboxes and pseudogenes,"100126596,ENSG00000272436,OTTHUMG00000185574,,",9606
OR4C50P,Gene,olfactory receptor family 4 subfamily C member 50 pseudogene,"Olfactory receptors, family 4","256190,ENSG00000237610,OTTHUMG00000154323,,",9606
HOXC-AS1,Gene,HOXC cluster antisense RNA 1,Antisense RNAs,"100874363,ENSG00000250451,OTTHUMG00000160024,uc031zck.1,""BU619815|CA429707""",9606
SNORD114-2,Gene,"small nucleolar RNA, C/D box 114-2","Small nucleolar RNAs, C/D box","767578,ENSG00000200823,,uc001yis.4,",9606
RNA5SP185,Gene,"RNA, 5S ribosomal pseudogene 185",,"100873447,ENSG00000212265,,uc063dss.1,",9606
BTF3L4P4,Gene,basic transcription factor 3 like 4 pseudogene 4,,"100506061,ENSG00000229226,OTTHUMG00000161472,,",9606
GPC6,Gene,glypican 6,Glypicans,"10082,ENSG00000183098,OTTHUMG00000017205,uc001vlt.4,AF111178",9606
HMGB1P16,Gene,high mobility group box 1 pseudogene 16,,"646577,ENSG00000229384,OTTHUMG00000021352,,",9606
CACNA1C-IT3,Gene,CACNA1C intronic transcript 3,Intronic transcripts,"100874370,ENSG00000256721,OTTHUMG00000168201,uc031qfn.2,",9606
ARMS2,Gene,age-related maculopathy susceptibility 2,,"387715,ENSG00000254636,OTTHUMG00000048232,uc001lgi.4,BC066349",9606
RNU6-92P,Gene,"RNA, U6 small nuclear 92, pseudogene",,"106479607,ENSG00000272393,,,",9606
ZNF577,Gene,zinc finger protein 577,Zinc fingers C2H2-type,"84765,ENSG00000161551,OTTHUMG00000157045,uc010yde.4,AL832871",9606
CYP21A2,Gene,cytochrome P450 family 21 subfamily A member 2,Cytochrome P450 family 21,"1589,ENSG00000231852,OTTHUMG00000031069,uc021zxa.2,X58906",9606
SNX27,Gene,sorting nexin 27,"""Sorting nexins|PDZ domain containing""","81609,ENSG00000143376,OTTHUMG00000013052,uc001eyn.2,AB007957",9606
POU4F2,Gene,POU class 4 homeobox 2,POU class homeoboxes and pseudogenes,"5458,ENSG00000151615,OTTHUMG00000162045,uc003ikv.4,U06233",9606
CEACAMP11,Gene,CEA cell adhesion molecule pseudogene 11,CEA cell adhesion molecule family,"1086,ENSG00000236123,OTTHUMG00000151540,,U06679",9606
SFR1,Gene,SWI5 dependent homologous recombination repair protein 1,,"119392,ENSG00000156384,OTTHUMG00000019000,uc001kxu.4,BC020892",9606
SLC30A1,Gene,solute carrier family 30 member 1,Solute carriers,"7779,ENSG00000170385,OTTHUMG00000036995,uc001hio.2,AF323590",9606
GNG5P4,Gene,G protein subunit gamma 5 pseudogene 4,,"100101933,,,,",9606
MTCO1P51,Gene,MT-CO1 pseudogene 51,,"100287067,ENSG00000232981,OTTHUMG00000020078,,",9606
ANKRD18B,Gene,ankyrin repeat domain 18B,Ankyrin repeat domain containing,"441459,ENSG00000230453,OTTHUMG00000019776,uc064spz.1,",9606
LRRC8C-DT,Gene,LRRC8C divergent transcript,Divergent transcripts,"400761,ENSG00000231999,OTTHUMG00000010130,,",9606
PPP4R1-AS1,Gene,PPP4R1 antisense RNA 1,Antisense RNAs,"101927323,ENSG00000263627,OTTHUMG00000178597,,",9606
LINC02262,Gene,long intergenic non-protein coding RNA 2262,Long intergenic non-protein coding RNAs,"105377389,ENSG00000224932,OTTHUMG00000059449,,",9606
NFYA,Gene,nuclear transcription factor Y subunit alpha,,"4800,ENSG00000001167,OTTHUMG00000014669,uc003opo.4,",9606
GPR158-AS1,Gene,GPR158 antisense RNA 1,Antisense RNAs,"100128811,ENSG00000233642,OTTHUMG00000017830,uc010qde.2,AK094758",9606
MRGPRX13P,Gene,"MAS related GPR family member X13, pseudogene",,"645319,ENSG00000254546,OTTHUMG00000166444,,",9606
MAIP1,Gene,matrix AAA peptidase interacting protein 1,,"79568,ENSG00000162972,OTTHUMG00000132771,uc002uvm.4,BC017959",9606
PLEC,Gene,plectin,"""Plakins|MicroRNA protein coding host genes""","5339,ENSG00000178209,OTTHUMG00000165291,uc064rfy.1,U53204",9606
C15orf39,Gene,chromosome 15 open reading frame 39,,"56905,ENSG00000167173,OTTHUMG00000142820,uc002azp.4,AK128205",9606
CDC5L,Gene,cell division cycle 5 like,"""Myb/SANT domain containing|NineTeen complex|Spliceosomal C complex|MicroRNA protein coding host genes""","988,ENSG00000096401,OTTHUMG00000014767,uc003oxl.4,D85423",9606
UBN1,Gene,ubinuclein 1,"""Protein phosphatase 1 regulatory subunits|HIRA histone chaperone complex subunits""","29855,ENSG00000118900,OTTHUMG00000129531,uc002cyb.5,AF108460",9606
RN7SL545P,Gene,"RNA, 7SL, cytoplasmic 545, pseudogene",,"106481848,ENSG00000274568,,uc059grd.1,",9606
RNU6-558P,Gene,"RNA, U6 small nuclear 558, pseudogene",,"106481358,ENSG00000201382,,,",9606
TOMM22P2,Gene,TOMM22 pseudogene 2,,"100499417,ENSG00000232195,OTTHUMG00000036083,,",9606
NDOR1,Gene,NADPH dependent diflavin oxidoreductase 1,Cytosolic iron-sulfur assembly components,"27158,ENSG00000188566,OTTHUMG00000020986,uc004clw.4,BC015735",9606
CEP192,Gene,centrosomal protein 192,Protein phosphatase 1 regulatory subunits,"55125,ENSG00000101639,OTTHUMG00000160693,uc060npo.1,AK074074",9606
ABHD17AP1,Gene,ABHD17A pseudogene 1,,"728917,ENSG00000198658,OTTHUMG00000047949,,",9606
