ID,:LABEL,accession,name,synonyms,description,taxid
Q8TDN7,Protein,ACER1_HUMAN,ACER1,"ACER1_HUMAN,ACER1,9606.ENSP00000301452,CHEMBL3351194,ENSG00000167769",,9606
P50406,Protein,5HT6R_HUMAN,HTR6,"5HT6R_HUMAN,HTR6,9606.ENSP00000289753,CHEMBL3371,ENSG00000158748",,9606
Q9UKU0-7,Protein,ACSL6_HUMAN,ACSL6,"ACSL6_HUMAN,ACSL6,9606.ENSP00000368566,ENSG00000164398",,9606
Q00005-6,Protein,2ABB_HUMAN,PPP2R2B,"2ABB_HUMAN,PPP2R2B,9606.ENSP00000377936,ENSG00000156475",,9606
Q13639-3,Protein,5HT4R_HUMAN,HTR4,"5HT4R_HUMAN,HTR4,5EM9,9606.ENSP00000353915,CHEMBL1875,ENSG00000164270",,9606
O14639,Protein,ABLM1_HUMAN,ABLIM1,"ABLM1_HUMAN,ABLIM1,9606.ENSP00000277895,ENSG00000099204",,9606
P33121-2,Protein,ACSL1_HUMAN,ACSL1,"ACSL1_HUMAN,ACSL1,9606.ENSP00000422607,CHEMBL4295746,ENSG00000151726",,9606
Q70Z44-2,Protein,5HT3D_HUMAN,HTR3D,"5HT3D_HUMAN,HTR3D,9606.ENSP00000371929,CHEMBL2094132,ENSG00000186090",,9606
Q12979-3,Protein,ABR_HUMAN,ABR,"ABR_HUMAN,ABR,9606.ENSP00000303909,ENSG00000159842,ENSG00000276016,ENSG00000278741",,9606
Q6P461-2,Protein,ACSM6_HUMAN,ACSM6,"ACSM6_HUMAN,ACSM6,9606.ENSP00000340296,ENSG00000173124",,9606
Q9H013-2,Protein,ADA19_HUMAN,ADAM19,"ADA19_HUMAN,ADAM19,9606.ENSP00000257527,ENSG00000135074",,9606
Q9UGI9-1,Protein,AAKG3_HUMAN,PRKAG3,"AAKG3_HUMAN,PRKAG3,9606.ENSP00000397133,CHEMBL3038452,CHEMBL3038457,CHEMBL4106159,CHEMBL4106162,ENSG00000115592",,9606
O60488,Protein,ACSL4_HUMAN,ACSL4,"ACSL4_HUMAN,ACSL4,9606.ENSP00000339787,ENSG00000068366",,9606
O15254-2,Protein,ACOX3_HUMAN,ACOX3,"ACOX3_HUMAN,ACOX3,9606.ENSP00000348775,CHEMBL4105817,ENSG00000087008",,9606
O14639-2,Protein,ABLM1_HUMAN,ABLIM1,"ABLM1_HUMAN,ABLIM1,9606.ENSP00000277895,ENSG00000099204",,9606
Q7L8J4-1,Protein,3BP5L_HUMAN,SH3BP5L,"3BP5L_HUMAN,SH3BP5L,9606.ENSP00000355428,ENSG00000175137",,9606
Q86V21-1,Protein,AACS_HUMAN,AACS,"AACS_HUMAN,AACS,9606.ENSP00000324842,ENSG00000081760",,9606
Q8TB40-2,Protein,ABHD4_HUMAN,ABHD4,"ABHD4_HUMAN,ABHD4,9606.ENSP00000414558,ENSG00000100439",,9606
Q16570-2,Protein,ACKR1_HUMAN,ACKR1,"ACKR1_HUMAN,ACKR1,4NUU,4NUV,9606.ENSP00000357103,CHEMBL2321626,ENSG00000213088",,9606
Q9NYB9-4,Protein,ABI2_HUMAN,ABI2,"ABI2_HUMAN,ABI2,2ED0,3P8C,4N78,9606.ENSP00000295851,ENSG00000138443",,9606
P45844-3,Protein,ABCG1_HUMAN,ABCG1,"ABCG1_HUMAN,ABCG1,9606.ENSP00000354995,ENSG00000160179",,9606
O95477,Protein,ABCA1_HUMAN,ABCA1,"ABCA1_HUMAN,ABCA1,5XJY,9606.ENSP00000363868,CHEMBL2362986,ENSG00000165029",,9606
Q13444-5,Protein,ADA15_HUMAN,ADAM15,"ADA15_HUMAN,ADAM15,9606.ENSP00000349436,CHEMBL2331050,ENSG00000143537",,9606
Q709F0,Protein,ACD11_HUMAN,ACAD11,"ACD11_HUMAN,ACAD11,2WBI,9606.ENSP00000264990,CHEMBL4105707,ENSG00000240303",,9606
P08195,Protein,4F2_HUMAN,SLC3A2,"4F2_HUMAN,SLC3A2,2DH2,2DH3,6IRS,6IRT,6JMQ,6JMR,6S8V,9606.ENSP00000367123,ENSG00000168003",,9606
Q13639-2,Protein,5HT4R_HUMAN,HTR4,"5HT4R_HUMAN,HTR4,5EM9,9606.ENSP00000353915,CHEMBL1875,ENSG00000164270",,9606
Q96P26-3,Protein,5NT1B_HUMAN,NT5C1B,"5NT1B_HUMAN,NT5C1B,9606.ENSP00000352904,ENSG00000185013",,9606
Q9NS82,Protein,AAA1_HUMAN,SLC7A10,"AAA1_HUMAN,SLC7A10,9606.ENSP00000253188,ENSG00000130876",,9606
Q9UKV3-5,Protein,ACINU_HUMAN,ACIN1,"ACINU_HUMAN,ACIN1,6G6S,9606.ENSP00000262710,ENSG00000100813",,9606
P12814-2,Protein,ACTN1_HUMAN,ACTN1,"ACTN1_HUMAN,ACTN1,2EYI,2EYN,2N8Y,2N8Z,9606.ENSP00000377941,ENSG00000072110",,9606
Q15027,Protein,ACAP1_HUMAN,ACAP1,"ACAP1_HUMAN,ACAP1,3JUE,3T9K,4CKG,4CKH,4F1P,4NSW,5H3D,9606.ENSP00000158762,ENSG00000072818,ENSG00000288169",,9606
Q9H0P0-1,Protein,5NT3A_HUMAN,NT5C3A,"5NT3A_HUMAN,NT5C3A,2CN1,2JGA,2VKQ,9606.ENSP00000484415,ENSG00000122643",,9606
Q9BR61,Protein,ACBD6_HUMAN,ACBD6,"ACBD6_HUMAN,ACBD6,2COP,9606.ENSP00000356567,ENSG00000230124",,9606
P35348-7,Protein,ADA1A_HUMAN,ADRA1A,"ADA1A_HUMAN,ADRA1A,9606.ENSP00000369960,CHEMBL229,ENSG00000120907",,9606
P22760,Protein,AAAD_HUMAN,AADAC,"AAAD_HUMAN,AADAC,9606.ENSP00000232892,CHEMBL3509584,ENSG00000114771",,9606
P05067-11,Protein,A4_HUMAN,APP,"A4_HUMAN,APP,1AAP,1AMB,1AMC,1AML,1BA4,1BA6,1BJB,1BJC,1BRC,1CA0,1HZ3,1IYT,1MWP,1OWT,1QCM,1QWP,1QXC,1QYT,1TAW,1TKN,1UO7,1UO8,1UOA,1UOI,1X11,1Z0Q,1ZE7,1ZE9,1ZJD,2BEG,2BOM,2BP4,2FJZ,2FK1,2FK2,2FK3,2FKL,2FMA,2G47,2IPU,2LFM,2LLM,2LMN,2LMO,2LMP,2LMQ,2LNQ,2LOH,2LP1,2LZ3,2LZ4,2M4J,2M9R,2M9S,2MGT,2MJ1,2MPZ,2MVX,2MXU,2NAO,2OTK,2R0W,2WK3,2Y29,2Y2A,2Y3J,2Y3K,2Y3L,3AYU,3BAE,3BKJ,3DXC,3DXD,3DXE,3GCI,3IFL,3IFN,3IFO,3IFP,3JQ5,3JQL,3JTI,3KTM,3L33,3L81,3MOQ,3MXC,3MXY,3NYJ,3NYL,3OVJ,3OW9,3PZZ,3Q2X,3SV1,3U0T,3UMH,3UMI,3UMK,4HIX,4JFN,4M1C,4MDR,4MVI,4MVK,4MVL,4NGE,4OJF,4ONF,4ONG,4PQD,4PWQ,4XXD,5AEF,5AM8,5AMB,5BUO,5C67,5CSZ,5HOW,5HOX,5HOY,5KK3,5LFY,5LV0,5MY4,5MYO,5MYX,5ONP,5ONQ,5OQV,5TXD,5VOS,5VZY,5W3P,6CO3,6GFI,6ITU,6IYC,6NB9,6O4J,6OC9,6OIZ,6RHY,6SHS,6TI5,6TI6,6TI7,6WXM,9606.ENSP00000284981,CHEMBL2487,ENSG00000142192",,9606
